Time,Rainfall
2017-09-01 00:00:00,0.000000
2017-09-01 01:00:00,0.000000
2017-09-01 02:00:00,0.000000
2017-09-01 03:00:00,0.000000
2017-09-01 04:00:00,0.000000
2017-09-01 05:00:00,0.000000
2017-09-01 06:00:00,0.000000
2017-09-01 07:00:00,0.000000
2017-09-01 08:00:00,0.000000
2017-09-01 09:00:00,0.081243
2017-09-01 10:00:00,0.022491
2017-09-01 11:00:00,0.000000
2017-09-01 12:00:00,0.000134
2017-09-01 13:00:00,0.169620
2017-09-01 14:00:00,0.894060
2017-09-01 15:00:00,0.000000
2017-09-01 16:00:00,0.000000
2017-09-01 17:00:00,0.000000
2017-09-01 18:00:00,0.000000
2017-09-01 19:00:00,0.000000
2017-09-01 20:00:00,0.000000
2017-09-01 21:00:00,0.000000
2017-09-01 22:00:00,0.000000
2017-09-01 23:00:00,0.000000
2017-09-02 00:00:00,0.000000
2017-09-02 01:00:00,0.000000
2017-09-02 02:00:00,0.000000
2017-09-02 03:00:00,0.000000
2017-09-02 04:00:00,1.106031
2017-09-02 05:00:00,0.000003
2017-09-02 06:00:00,0.000000
2017-09-02 07:00:00,0.000000
2017-09-02 08:00:00,0.680669
2017-09-02 09:00:00,2.154073
2017-09-02 10:00:00,0.529304
2017-09-02 11:00:00,0.845610
2017-09-02 12:00:00,1.022235
2017-09-02 13:00:00,0.126758
2017-09-02 14:00:00,0.800979
2017-09-02 15:00:00,0.017652
2017-09-02 16:00:00,0.773236
2017-09-02 17:00:00,0.007439
2017-09-02 18:00:00,0.000339
2017-09-02 19:00:00,0.943273
2017-09-02 20:00:00,1.102449
2017-09-02 21:00:00,1.417831
2017-09-02 22:00:00,2.941958
2017-09-02 23:00:00,1.070489
2017-09-03 00:00:00,0.000000
2017-09-03 01:00:00,0.000000
2017-09-03 02:00:00,0.000349
2017-09-03 03:00:00,0.000044
2017-09-03 04:00:00,0.008463
2017-09-03 05:00:00,0.128933
2017-09-03 06:00:00,0.110046
2017-09-03 07:00:00,5.119844
2017-09-03 08:00:00,5.420233
2017-09-03 09:00:00,0.000000
2017-09-03 10:00:00,0.000000
2017-09-03 11:00:00,0.000000
2017-09-03 12:00:00,0.000000
2017-09-03 13:00:00,0.000000
2017-09-03 14:00:00,0.000000
2017-09-03 15:00:00,0.001133
2017-09-03 16:00:00,0.000000
2017-09-03 17:00:00,1.812401
2017-09-03 18:00:00,0.561905
2017-09-03 19:00:00,0.763969
2017-09-03 20:00:00,0.793821
2017-09-03 21:00:00,0.868912
2017-09-03 22:00:00,0.562038
2017-09-03 23:00:00,0.442894
